,forecast,lower,upper
2027-05-17,442.3330350037491,229.01774921514289,655.6483207923553
2027-05-18,442.4656134327311,228.68710172230945,656.2441251431528
2027-05-19,442.59819186171313,228.35745580255224,656.8389279208741
2027-05-20,442.7307702906951,228.0288049871162,657.4327355942739
2027-05-21,442.8633487196771,227.70114287657987,658.0255545627743
2027-05-24,442.9959271486591,227.3744631398191,658.6173911574991
2027-05-25,443.1285055776411,227.04875951299104,659.2082516422911
2027-05-26,443.2610840066231,226.7240257985376,659.7981422147086
2027-05-27,443.39366243560505,226.40025586420722,660.3870690070029
2027-05-28,443.52624086458707,226.07744364209586,660.9750380870782
2027-05-31,443.6588192935691,225.7555831277052,661.5620554594329
2027-06-01,443.79139772255104,225.43466837901923,662.1481270660829
2027-06-02,443.92397615153305,225.1146935155979,662.7332587874682
2027-06-03,444.05655458051507,224.79565271768703,663.3174564433431
2027-06-04,444.189133009497,224.47754022534542,663.9007257936487
2027-06-07,444.32171143847904,224.16035033758786,664.4830725393703
2027-06-08,444.454289867461,223.84407741154328,665.0645023233787
2027-06-09,444.586868296443,223.52871586162937,665.6450207312566
2027-06-10,444.71944672542503,223.2142601587411,666.2246332921089
2027-06-11,444.852025154407,222.90070482945464,666.8033454793593
2027-06-14,444.984603583389,222.58804445524564,667.3811627115324
2027-06-15,445.117182012371,222.27627367172116,667.9580903530209
2027-06-16,445.249760441353,221.96538716786554,668.5341337148404
